flavor,calcium_dv,sugars,iron_dv,updated_at,full_ingredient,vitamin_a_dv,saturated_fat,protein,trans_fatty_acid,item_description,total_carbohydrate,sodium,item_name,ingredient_statement,serving_size_qty,dietary_fiber,main-ingredient,item_id,calories_from_fat,monounsaturated_fat,serving_weight_grams,calories,polyunsaturated_fat,calperunitserving,vitamin_c_dv,total_fat,cholesterol,servings_per_container,serving_size_unit
Other,0,22,0,2015-10-28 22:49:30,Missing Info,0,0,0,0,,24,15,Fruit Punch,,1,0,Missing Info,563150d5bc0f7193292eb4b6,0,0,,100,0,100.0,100,0,0,8,box
Apple,0,26,0,2015-12-30 04:49:58,Missing Info,0,0,0,0,,28,20,"100% Juice, Apple",,8,0,Missing Info,56836299c869ed5b12cb75ef,0,0,,110,0,13.75,120,0,0,8,fl oz
Other,0,22,0,2016-01-03 07:22:36,Missing Info,0,0,0,0,,24,15,Juice,,1,0,Missing Info,568893d450dbcb511c161aa0,0,0,0,100,0,100.0,100,0,0,8,box
Berries,0,25,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Berry Flavored,32,20,"100% Juice, Berry Flavored","Apple Juice Concentrate, Water, Grape Juice Concentrate, Natural Flavors, Raspberry Juice Concentrate, Ascorbic Acid (Vitamin C), Citric Acid.",2,0,Missing Info,51c36ca197c3e69de4b083e6,0,0,54,130,0,65.0,120,0,0,6,fl oz
Orange,2,27,2,2014-11-24 20:24:24,Missing Info,70,0,1,0,Orange Mango,31,70,"100% Fruit & Veggie Juice, Orange Mango","Grape Juice, Carrot Juice, Apple Juice, Mango Puree, and Orange Juice (Water, Juice and Puree Concentrates), Sweet Potato Puree, Natural Flavors, Citric Acid, Ascorbic Acid (Vitamin C).",8,1,Missing Info,51c36caa97c3e69de4b08437,0,0,217,130,0,16.25,120,0,0,6,oz
Orange,0,20,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Sparkling Orange Flavored,21,10,"Juice Beverage, Sparkling Orange Flavored","Apple Juice, Orange Juice, and Tangerine Juice (Water, Juice Concentrates), Water, and Less than 0.5% of Natural Flavors, Citric Acid, Ascorbic Acid (Vitamin C), Carbonation Added. Gluten free.",1,0,Missing Info,51c36cba97c3e69de4b084a3,0,0,,90,0,90.0,20,0,0,4,can
Grape,0,15,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Grape,16,10,"Juice, Grape","Apple Juice, Grape Juice, and Pear Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",12,0,Missing Info,51c36cbd97c3e69de4b084c9,0,0,,70,0,5.833333333333333,100,0,0,12,ea
Apple,0,23,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Apple Frenzy,25,15,"J - Max, Apple Frenzy","Apple Juice, Grape Juice, (Water, Juice Concentrates), Malic Acid, Natural Flavors, Ascorbic Acid, (Vitamin C).",1,0,Missing Info,51c36cc397c3e69de4b084fe,0,0,,100,0,100.0,100,0,0,10,pouch
Grape,0,28,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Grape,29,20,"100% Juice, Grape","Apple Juice, Grape Juice, and Pear Juice (Water, Juice Concentrates), and Less than 0.5% of Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51c36cc697c3e69de4b0851b,0,0,217,120,0,15.0,120,0,0,6,fl oz
Orange,0,13,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,"Flavored, Orange Strawbana Blast",14,0,"Juice Beverage, Flavored, Orange Strawbana Blast","Apple Juice from Concentrate (Water, Juice Concentrate), Water, Orange Juice from Concentrate (Water, Juice Concentrate), Strawberry Juice from Concentrate (Water, Juice Concentrate), Natural Flavors, Banana Puree, Ascorbic Acid (Vitamin C), Citric Acid.",1,0,Missing Info,51c36ccc97c3e69de4b08556,0,0,,60,0,60.0,100,0,0,8,box
Orange,0,31,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Orange Tangerine Flavored Juice Blend,32,25,Orange Tangerine Flavored Juice Blend,"Apple Juice, Pear Juice, Grape Juice, Orange Juice, and Tangerine Juice (Water, Juice Concentrates), and Less than 0.5% of Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51c36ccc97c3e69de4b0855c,0,0,226,130,0,16.25,120,0,0,6,fl oz
Apple,0,27,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Apple Banana,29,20,"Juice, Apple Banana","Apple Juice, Grape Juice, and Pear Juice (Water, Juice Concentrates), Banana Puree, Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51c36cd797c3e69de4b085c2,0,0,226,120,0,15.0,120,0,0,8,fl oz
Berries,0,21,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Kiwi Strawberry,24,15,"Juice, Kiwi Strawberry","Apple Juice, Grape Juice, Kiwi Juice, and Strawberry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",1,0,Missing Info,51c36ce497c3e69de4b0863f,0,0,,100,0,100.0,100,0,0,10,box
Orange,0,17,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Orange Tangerine,18,15,"Premium 100% Juice, Orange Tangerine","Grape Juice, Apple Juice, Orange Juice, and Tangerine Juice (Water, Juice Concentrates), Natural Flavors, Citric Acid, Gum Acacia and Beta Carotene for Color, Ascorbic Acid (Vitamin C).",1,0,Missing Info,51c36ce697c3e69de4b0865a,0,0,,70,0,70.0,100,0,0,0,box
Berries,0,28,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Apple Raspberry,30,20,"100% Juice, Apple Raspberry","Apple Juice, Pear Juice, Grape Juice, and Raspberry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51c36ce697c3e69de4b0865f,0,0,226,120,0,15.0,120,0,0,8,fl oz
Berries,0,23,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Strawberry Banana,24,15,"100% Juice, Strawberry Banana","Apple Juice, Pear Juice, Grape Juice, and Strawberry Juice (Water, Juice Concentrates), Natural Flavors, Banana Puree, Ascorbic Acid (Vitamin C), Citric Acid.",1,0,Missing Info,51c36cf397c3e69de4b086de,0,0,,100,0,100.0,100,0,0,8,box
Berries,0,24,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,"Flavored, Kiwi Strawberry",29,20,"Juicy Juice, Kiwi Strawberry","Apple Juice from Concentrate (Water, Juice Concentrate), Pear Juice from Concentrate (Water, Juice Concentrate), Grape Juice from Concentrate (Water, Juice Concentrate), Strawberry Juice from Concentrate (Water, Juice Concentrate), Kiwi Juice from Concentrate (Water, Juice Concentrate), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51d2fb4dcc9bff111580db99,0,0,226,120,0,15.0,120,0,0,8,fl oz
Other,0,26,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Fruit Punch,28,20,"Juicy Juice Flavored Juice Blend, Fruit Punch","Apple Juice from Concentrate (Water, Juice Concentrate), Pear Juice from Concentrate (Water, Juice Concentrate), Grape Juice from Concentrate (Water, Juice Concentrate), Passion Fruit Juice from Concentrate (Water, Juice Concentrate), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51d2fb61cc9bff111580dc34,0,0,226,120,0,15.0,120,0,0,8,fl oz
Berries,0,22,0,2015-09-19 06:48:58,Missing Info,0,0,0,0,,24,15,Bullseye Berry Juice,,1,0,Missing Info,55fd0561cc6b8e4c3e3229b6,0,0,,100,0,100.0,100,0,0,0,box
Apple,0,26,0,2015-09-21 20:52:19,Missing Info,0,0,0,0,,28,20,100% Apple Juice,,8,0,Missing Info,56006cc4221ca63779cc38cd,0,0,,110,0,13.75,120,0,0,8,fl oz
Other,0,27,0,2015-12-29 12:55:28,Missing Info,0,0,0,0,,29,20,Juice,,8,0,Missing Info,5682820798c8c72f777c7630,0,0,,120,0,15.0,120,0,0,8,fl oz
Peach,0,27,0,2016-01-06 13:26:40,Missing Info,0,0,0,0,,29,20,Peach Apple Juice,,8,0,Missing Info,568cf8113266678504746d78,0,0,,120,0,15.0,120,0,0,8,fl oz
Apple,0,26,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Apple,28,20,"100% Juice, Apple","Apple Juice (Water, Juice Concentrate), Ascorbic Acid (Vitamin C), Malic Acid.",8,0,Missing Info,51c36c9f97c3e69de4b083d7,0,0,217,110,0,13.75,120,0,0,6,fl oz
Cherry,0,27,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Cherry,29,20,"100% Juice, Cherry","Apple Juice, Grape Juice, Pear Juice and Cherry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51c36ca097c3e69de4b083de,0,0,217,120,0,15.0,120,0,0,6,fl oz
Other,0,23,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,"Non-Frozen Concentrate, Punch",31,10,"100% Juice, Non-Frozen Concentrate, Punch","Apple Juice Concentrate, Water, Grape Juice Concentrate, Passion Fruit Juice Concentrate, Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",2,0,Missing Info,51c36ca197c3e69de4b083ea,0,0,54,120,0,60.0,120,0,0,6,fl oz conc
Orange,0,26,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Orange Tangerine,27,15,"100% Juice, Orange Tangerine","Apple Juice, Pear Juice, Grape Juice, Orange Juice, and Tangerine Juice (Water, Juice Concentrates), and less than 0.5% of Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",1,0,Missing Info,51c36cb997c3e69de4b0849d,0,0,,110,0,110.0,100,0,0,8,box
Orange,0,29,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Orange Tangerine,32,25,"Juice, Orange Tangerine","Grape Juice, Apple Juice, Orange Juice and Tangerine Juice (Water, Juice Concentrates), Natural Flavors, Citric Acid, Gum Acacia and Beta Carotene for Color, Ascorbic Acid (Vitamin C).",8,0,Missing Info,51c36cbf97c3e69de4b084d4,0,0,217,130,0,16.25,0,0,0,6,oz
Cherry,0,23,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Wild Cherry Craze,25,15,"J - Max, Wild Cherry Craze","Apple Juice, Grape Juice, Cherry Juice, (Water, Juice Concentrates), Natural Flavors, Citric Acid, (Vitamin C).",1,0,Missing Info,51c36cc297c3e69de4b084f7,0,0,,100,0,100.0,100,0,0,10,pouch
Berries,0,23,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Berry Lemon Blast,25,15,"J - Max, Berry Lemon Blast","Apple Juice, Grape Juice, Lemon Juice, Strawberry Juice, (Water, Juice Concentrates), Citric Acid, Natural Flavors, Ascorbic Acid, (Vitamin C).",1,0,Missing Info,51c36cc397c3e69de4b084fc,0,0,,100,0,100.0,100,0,0,10,pouch
Cherry,0,27,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Cherry,29,20,"100% Juice, Cherry","Apple Juice, Pear Juice, Grape Juice, and Cherry Juice (Water, Juice Concentrates), and Less than 0.5% of Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51c36cc797c3e69de4b08527,0,0,217,120,0,15.0,120,0,0,6,fl oz
Berries,0,24,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Kiwi Strawberry,29,20,"Juice, Kiwi Strawberry","Apple Juice, Grape Juice, Kiwi Juice, and Strawberry Juice (Water, Juice Concentrate), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51c36ccd97c3e69de4b08561,0,0,217,120,0,15.0,120,0,0,6,oz
Grape,0,23,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Grape,25,15,"100% Juice, Grape","Apple Juice, and Grape Juice (Water, Juice Concentrates), and Less than 0.5% of Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",1,0,Missing Info,51c36ce097c3e69de4b08615,0,0,,100,0,100.0,100,0,0,8,box
Berries,0,24,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Kiwi Strawberry,29,20,Kiwi Strawberry Juice Blend,"Apple Juice from Concentrate (Water, Juice Concentrate), Pear Juice from Concentrate (Water, Juice Concentrate), Grape Juice from Concentrate (Water, Juice Concentrate), Strawberry Juice from Concentrate (Water, Juice Concentrate), Kiwi Juice from Concentrate (Water, Juice Concentrate), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51c547cf97c3e6efadd5f18c,0,0,,120,0,15.0,120,0,0,6,fl oz
Grape,0,15,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Grape,16,10,"Juice, Grape","Apple Juice, and Grape Juice (Water, Juice Concentrates), and Less than 0.5% of Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",1,0,Missing Info,51d2fb37cc9bff111580dadd,0,0,,70,0,70.0,100,0,0,1,box
Berries,0,27,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Strawberry Banana,29,20,"Juicy Juice, Strawberry Banana","Apple Juice from Concentrate (Water, Juice Concentrate), Pear Juice from Concentrate (Water, Juice Concentrate), Grape Juice from Concentrate (Water, Juice Concentrate), Strawberry Juice from Concentrate (Water, Juice Concentrate), Natural Flavors, Banana Puree, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51d2fb4dcc9bff111580db97,0,0,226,120,0,15.0,120,0,0,8,fl oz
Apple,0,26,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Apple,28,20,"Juicy Juice, Apple","Apple Juice from Concentrate (Water, Juice Concentrate), Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51d3008bcc9bff111580fe97,0,0,226,110,0,13.75,120,0,0,8,fl oz
Other,0,33,0,2015-08-26 08:42:15,Missing Info,0,0,0,0,,35,25,Fruit Punch Juice Blend,,1,0,Missing Info,55dd7ac096135bf21c177a32,0,0,,140,0,140.0,100,0,0,0,bottle
Other,0,26,0,2015-12-13 04:51:26,Missing Info,0,0,0,0,,28,20,Fruit Punch,,8,0,Missing Info,566cf93cfaa6c26768a23c96,0,0,,120,0,15.0,120,0,0,6,fl oz
Grape,0,23,0,2015-12-17 10:56:52,Missing Info,0,0,0,0,,25,15,Grape Juice,,1,0,Missing Info,5672937f12c3b97c5278b09f,0,0,,100,0,100.0,100,0,0,8,box
Apple,0,27,0,2016-01-02 17:21:38,Missing Info,0,0,0,0,,29,15,Apple Juice,,8,0,Missing Info,56880643a1b8c86412aa555a,0,0,,110,0,13.75,120,0,0,8,fl oz
Apple,0,26,0,2016-01-03 09:25:57,Missing Info,0,0,0,0,,28,20,Apple Juice,,8,0,Missing Info,5688e79fc702f9cf284283a7,0,0,,110,0,13.75,120,0,0,6,fl oz
Other,0,14,0,2016-01-07 13:40:34,Missing Info,0,0,0,0,,15,10,Fruit Punch,,1,0,Missing Info,568e2f230821b2017325d119,0,0,,60,0,60.0,60,0,0,8,box
Berries,0,28,0,2016-01-08 05:38:18,Missing Info,0,0,0,0,,30,20,Apple Raspberry Juice,,8,0,Missing Info,568f4909db2c6c8d3cf5b153,0,0,,120,0,15.0,120,0,0,8,fl oz
Orange,0,26,0,2016-01-09 09:30:38,Missing Info,0,0,0,0,,27,15,Orange Tangerine Juice,,1,0,Missing Info,5690d2c86edcebd6614f3c30,0,0,,110,0,110.0,100,0,0,8,box
Other,0,33,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Punch,35,25,"100% Juice, Punch","Apple Juice, Grape Juice, and Passion Fruit Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",1,0,Missing Info,51c36c8a97c3e69de4b08314,0,0,,140,0,140.0,100,0,0,1,bottle
Berries,0,24,4,2014-11-24 20:24:24,Missing Info,0,0,0,0,Premium Strawberry Juice,29,15,"Strawberry Juice, Premium, Premium Strawberry Juice","Apple Juice, Grape Juice and Strawberry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C).",8,0,Missing Info,51c36c8f97c3e69de4b0833c,0,0,217,120,0,15.0,120,0,0,6,oz
Other,0,26,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Punch,28,20,"100% Juice, Punch","Apple Juice, Grape Juice, and Passion Fruit Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51c36c8f97c3e69de4b08343,0,0,217,120,0,15.0,120,0,0,6,fl oz
Cherry,0,32,2,2014-11-24 20:24:24,Missing Info,0,0,0,0,,33,15,"Non-Frozen Concentrate, Cherry","Apple, Grape and Cherry Juice Concentrates, Water, Natural Flavors, Ascorbic Acid ( Vitamin C) This product is pasteurized.",8,0,Missing Info,51c36c9197c3e69de4b08350,0,0,54,130,0,16.25,120,0,0,6,oz
Berries,0,24,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Kiwi Strawberry,29,20,"100% Juice, Kiwi Strawberry","Apple Juice, Grape Juice, Kiwi Juice and Strawberry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51c36c9197c3e69de4b08355,0,0,217,120,0,15.0,120,0,0,6,fl oz
Apple,0,33,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Apple,35,25,"100% Juice, Apple","Apple Juice (Water, Juice Concentrate), Ascorbic Acid (Vitamin C), Malic Acid.",1,0,Missing Info,51c36c9b97c3e69de4b083b3,0,0,,140,0,140.0,100,0,0,1,bottle
Grape,0,28,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Grape,29,20,"100% Juice, Grape","Apple Juice, and Grape Juice (Water, Juice Concentrates), and Less than 0.5% of Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",8,0,Missing Info,51c36c9f97c3e69de4b083d3,0,0,217,120,0,15.0,120,0,0,6,fl oz
Berries,0,23,0,2014-11-24 20:24:24,Missing Info,0,0,0,0,Berry,24,15,"100% Juice, Berry","Apple Juice, Pear Juice, Grape Juice, and Raspberry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",1,0,Missing Info,51c36ca797c3e69de4b0841d,0,0,,100,0,100.0,100,0,0,8,box
Cherry,0,14,2,2014-11-24 20:24:24,Missing Info,0,0,0,0,Cherry,15,10,"Juice, Cherry","Apple Juice, Grape Juice, and Cherry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",1,0,Missing Info,51c36cac97c3e69de4b08440,0,0,,60,0,60.0,100,0,0,0,box
