item_id,item_name,item_description,updated_at,nf_ingredient_statement,nf_water_grams,nf_calories,nf_calories_from_fat,nf_total_fat,nf_saturated_fat,nf_trans_fatty_acid,nf_polyunsaturated_fat,nf_monounsaturated_fat,nf_cholesterol,nf_sodium,nf_total_carbohydrate,nf_dietary_fiber,nf_sugars,nf_protein,nf_vitamin_a_dv,nf_vitamin_c_dv,nf_calcium_dv,nf_iron_dv,nf_refuse_pct,nf_servings_per_container,nf_serving_size_qty,nf_serving_size_unit,nf_serving_weight_grams,allergen_contains_milk,allergen_contains_eggs,allergen_contains_fish,allergen_contains_shellfish,allergen_contains_tree_nuts,allergen_contains_peanuts,allergen_contains_wheat,allergen_contains_soybeans,allergen_contains_gluten
51c36ce397c3e69de4b08632,"100% Juice, Kiwi Strawberry",Kiwi Strawberry,2014-11-24T20:24:24.000Z,"Apple Juice, Grape Juice, Kiwi Juice, and Strawberry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",,60,0,0,,,,,,10,15,,14,0,0,100,0,0,,8,1,box,,,,,,,,,,
51c36cea97c3e69de4b08684,"Juice Boxes, Apple",Apple,2014-11-24T20:24:24.000Z,"Apple Juice (Water, Juice Concentrate), Ascorbic Acid (Vitamin C), Malic Acid.",,100,0,0,,,,,,15,24,,22,0,0,10,0,0,,8,1,box,,,,,,,,,,
51d2fb39cc9bff111580daf1,"Juice, Apple",Apple,2014-11-24T20:24:24.000Z,"Apple Juice from Concentrate (Water, Juice Concentrate), Ascorbic Acid (Vitamin C), Citric Acid.",,60,0,0,,,,,,10,15,,14,0,,100,,,,8,1,box,,,,,,,,,,
51d30081cc9bff111580fe64,"100% Juice, Kiwi Strawberry",Kiwi Strawberry,2014-11-24T20:24:24.000Z,"Apple Juice, Grape Juice, Kiwi Juice, and Strawberry Juice (Water, Juice Concentrates), Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",,100,0,0,,,,,,15,24,,22,0,0,100,0,0,,8,1,box,,,,,,,,,,
51d30086cc9bff111580fe7a,"Juice, Apple",Apple,2014-11-24T20:24:24.000Z,"Apple Juice from Concentrate (Water, Juice Concentrate), Ascorbic Acid (Vitamin C), Citric Acid.",,100,0,0,,,,,,15,24,,22,0,,100,,,,8,1,box,,,,,,,,,,
51d3009bcc9bff111580fed8,"Juicy Juice Flavored Juice Blend, Cherry",Cherry,2014-11-24T20:24:24.000Z,"Apple Juice from Concentrate (Water, Juice Concentrate), Pear Juice from Concentrate (Water, Juice Concentrate), Grape Juice from Concentrate (Water, Juice Concentrate), Cherry Juice from Concentrate (Water, Juice Concentrate), and Less than 0.5% of Natural Flavors, Ascorbic Acid (Vitamin C), Citric Acid.",,120,0,0,,,,,,20,29,,27,0,,120,,,,8,8,fl oz,226,,,,,,,,,
55592b2a61e715284d7ee8c2,"Freezer Pops, Tropical Punch",,2015-05-18T00:05:41.000Z,,,35,,0,,,,,,0,9,,7,0,,0,,,,12,1,pop,57,,,,,,,,,
55e66556771ae2d64c6d5424,"100% Juice, Orange Tangerine",,2015-09-02T02:53:45.000Z,,,130,,0,,,,,,25,32,,31,0,,120,,,,8,8,fl oz,,,,,,,,,,
561d51799280ed367b93ca4c,"Splashers, Tropical Twist",,2015-10-13T18:48:02.000Z,,,45,,0,,,,,,10,11,,10,0,,100,,,,10,1,pouch,,,,,,,,,,
563150d5bc0f7193292eb4b6,Fruit Punch,,2015-10-28T22:49:30.000Z,,,100,,0,,,,,,15,24,,22,0,,100,,,,8,1,box,,,,,,,,,,
